"SYMBOL 
","UNDERLYING ASSET 
"
MAHKTECH,Hang Seng TECH Total Return Index
HDFCPVTBAN,HDFC NIFTY Private Bank ETF
GOLDETF,Mirae Asset Gold ETF
EBBETF0431,Nifty BHARAT Bond
HDFCMID150,HDFC NIFTY Midcap 150 ETF
HDFCBSE500,HDFC S&P BSE 500 ETF
SBIETFCON,Nifty India Consumption Index
MONIFTY500,Motilal Oswal Nifty 500 ETF
MID150BEES,Nifty Midcap 150 TRI
HDFCNIFTY,Nifty 50
MOLOWVOL,Nifty Midcap 100 TRI
MOM100,Nifty Midcap 100
LIQUIDBETF,Bajaj Finserv Nifty 1D Rate Liquid ETF
QNIFTY,Nifty 50
LIQUIDCASE,Zerodha Nifty 1D Rate Liquid ETF
BANKBETF,Bajaj Finserv Nifty Bank ETF
GROWWLIQID,Nifty 1D Rate Index
BBETF0432,Nifty BHARAT Bond Index - April 2032
AXISGOLD,Gold
SILVER360,Commodity-Silver
HDFCLIQUID,HDFC Nifty 1D Rate Liquid ETF
CASHIETF,BSE Liquid Rate Index
LIQUIDPLUS,Nifty 1D Rate Index
AONELIQUID,Nifty�1D Rate Index
LIQUID1,Kotak Nifty 1D Rate Liquid ETF
LIQUIDADD,DSP S&P BSE Liquid Rate ETF
LIQUIDSHRI,SHRIRAM NIFTY 1D RATE LIQUID ETF
NIFTY50ADD,Nifty 50 Index
LIQUID,Mirae Asset Nifty 1D Rate Liquid ETF
LIQUIDETF,Nifty1D rate index
LIQUIDBEES,Government Securities
METALIETF,Nifty Metal Index
NIFTYIETF,Nifty 50
ABSLNN50ET,Nifty Next 50
SENSEXETF,Mirae Asset S&P BSE Sensex ETF
ABSLLIQUID,Aditya Birla Sun Life CRISIL Overnight Fund AI ETF
LIQUIDIETF,S&P BSE Liquid Rate Index
LIQUIDSBI,SBI NIFTY 1D Rate ETF
INFRAIETF,ICICI Prudential Nifty Infrastructure ETF
EBBETF0430,Nifty BHARAT Bond
MOINFRA,BSE India Infrastructure Total Return Index
SBIETFPB,Nifty Private Bank Index
NIFTYETF,Nifty 50
AUTOIETF,Nifty Auto Index
NIFTY1,Nifty 50
NIFTYBEES,Nifty 50
ALPHA,NIFTY Alpha 50 Index
UNIONGOLD,Commodity Gold
ABGSEC,Aditya Birla Sun Life CRISIL Broad Based Gilt ETF
AXISVALUE,Nifty500 Value 50 TRI
BSLNIFTY,Nifty 50
LTGILTBEES,NIFTY 8-13 yr G-Sec Index
UTINIFTETF,Nifty 50
IVZINNIFTY,Nifty 50
NEXT50,Nifty Next 50
AUTOBEES,Nifty Auto TRI
NIF100IETF,Nifty 100
LICNETFGSC,GSEC10 NSE Index
LICNETFSEN,SENSEX
ESG,NIFTY100 ESG SECTOR LEADERS
GILT5YBEES,Nifty 5 yr Benchmark G-Sec Index
PVTBANIETF,Nifty Private Bank Index
SMALLCAP,Mirae Asset Nifty Smallcap 250 Momentum Quality 100 ETF
INFRABEES,Nifty Infra
NIF5GETF,UTI Nifty 5 yr Benchmark G-Sec ETF
SENSEXIETF,SENSEX
SBIBPB,BSE PSU Bank Index TRI
SETFNIF50,Nifty 50
UTIBANKETF,Nifty Bank
AXISNIFTY,Nifty 50
NIFMID150,UTI Nifty Midcap 150 Exchange Traded Fund (ETF)
BANKETF,Mirae Asset Nifty Bank ETF
HDFCSENSEX,SENSEX
ALPHAETF,Mirae Asset Nifty 200 Alpha 30 ETF
VAL30IETF,Nifty200 Value 30 Index
MIDCAP,Nifty Midcap 50 Index
MOMGF,Nifty India Manufacturing Total Return Index
BSE500IETF,S&P BSE 500 index
EBBETF0433,BHARAT Bond ETF-April 2033
BSLSENETFG,BSE SENSEX Index
GROWWEV,Nifty EV and New Age Automotive Index
PSUBANK,Nifty PSU Bank
AXISHCETF,Nifty Healthcare Index
SENSEXADD,DSP S&P BSE Sensex ETF
HDFCPSUBK,HDFC NIFTY PSU BANK ETF
BFSI,Nifty Financial Services Index
FINIETF,ICICI Prudential Nifty Financial Services Ex-Bank ETF
GSEC10YEAR,Mirae Asset Nifty 8-13 yr G-Sec ETF
BANKETFADD,DSP Nifty Bank ETF
GSEC5IETF,Nifty 5 yr Benchmark G-Sec Index
CONSUMBEES,Nifty India Consumption TRI
CONSUMER,Nifty�India�New�Age�Consumption
GSEC10ABSL,CRISIL 10 Year Gilt ETF
AXISBNKETF,Nifty Bank
AXISCETF,NIFTY India Consumption Index
SETFNIFBK,Nifty Bank
AXSENSEX,AXIS S&P BSE SENSEX ETF
BANKNIFTY1,Nifty Bank
MOCAPITAL,Nifty Capital Market Total Return Index
PSUBNKIETF,ICICI Prudential Nifty PSU Bank ETF
BANKIETF,Nifty Bank
BANKPSU,Nifty PSU Bank Total Return Index
HDFCNIFBAN,Nifty Bank
MOGSEC,Nifty 5 yr Benchmark G-Sec Index
BANKBEES,Nifty Bank
PSUBANKADD,DSP Nifty PSU Bank ETF
CONS,Kotak Nifty India Consumption ETF
SELECTIPO,BSE Select IPO Index
NPBET,Nifty Private Bank Index
PSUBNKBEES,Nifty PSU Bank
GROWWRAIL,Nifty India Railways PSU Index
BBNPNBETF,Baroda BNP Paribas NIFTY Bank ETF
LICNETFN50,Nifty 50
MOREALTY,Motilal Oswal Nifty Realty ETF
EBANKNIFTY,Edelweiss Nifty Bank ETF
GSEC10IETF,ICICI Prudential Nifty 10 yr Benchmark G-Sec ETF
UTISXN50,BSE Sensex Next 50
ECAPINSURE,BSE Capital Markets & Insurance Total Return Index
